id,name,city,country,capacity,timezone
1,Estadio Azteca,Mexico City,Mexico,87523,America/Mexico_City
2,Estadio Akron,Guadalajara,Mexico,46355,America/Mexico_City
3,Estadio BBVA,Monterrey,Mexico,53500,America/Monterrey
4,SoFi Stadium,Los Angeles,United States,70240,America/Los_Angeles
5,MetLife Stadium,New York,United States,82500,America/New_York
6,AT&T Stadium,Dallas,United States,80000,America/Chicago
7,Mercedes-Benz Stadium,Atlanta,United States,71000,America/New_York
8,NRG Stadium,Houston,United States,72220,America/Chicago
9,Arrowhead Stadium,Kansas City,United States,76416,America/Chicago
10,Lincoln Financial Field,Philadelphia,United States,69176,America/New_York
11,Lumen Field,Seattle,United States,69000,America/Los_Angeles
12,Levi's Stadium,Santa Clara,United States,68500,America/Los_Angeles
13,Hard Rock Stadium,Miami,United States,65326,America/New_York
14,Gillette Stadium,Boston,United States,65878,America/New_York
15,BC Place,Vancouver,Canada,54500,America/Vancouver
16,BMO Field,Toronto,Canada,45500,America/Toronto
